  I,KOFFSET(I) =   155  -3
  I,RNGOFFSET(I) =   156    3.31662
  I,IOFFSET(I) =   156  1
  I,JOFFSET(I) =   156  -3
  I,KOFFSET(I) =   156  -1
  I,RNGOFFSET(I) =   157    3.31662
  I,IOFFSET(I) =   157  1
  I,JOFFSET(I) =   157  -3
  I,KOFFSET(I) =   157  1
  I,RNGOFFSET(I) =   158    3.31662
  I,IOFFSET(I) =   158  1
  I,JOFFSET(I) =   158  1
  I,KOFFSET(I) =   158  -3
  I,RNGOFFSET(I) =   159    3.31662
  I,IOFFSET(I) =   159  -3
  I,JOFFSET(I) =   159  1
  I,KOFFSET(I) =   159  -1
  I,RNGOFFSET(I) =   160    3.31662
  I,IOFFSET(I) =   160  -1
  I,JOFFSET(I) =   160  -3
  I,KOFFSET(I) =   160  1
  I,RNGOFFSET(I) =   161    3.31662
  I,IOFFSET(I) =   161  -1
  I,JOFFSET(I) =   161  -3
  I,KOFFSET(I) =   161  -1
  I,RNGOFFSET(I) =   162    3.31662
  I,IOFFSET(I) =   162  3
  I,JOFFSET(I) =   162  1
  I,KOFFSET(I) =   162  1
  I,RNGOFFSET(I) =   163    3.31662
  I,IOFFSET(I) =   163  3
  I,JOFFSET(I) =   163  -1
  I,KOFFSET(I) =   163  -1
  I,RNGOFFSET(I) =   164    3.31662
  I,IOFFSET(I) =   164  -3
  I,JOFFSET(I) =   164  -1
  I,KOFFSET(I) =   164  -1
  I,RNGOFFSET(I) =   165    3.31662
  I,IOFFSET(I) =   165  3
  I,JOFFSET(I) =   165  1
  I,KOFFSET(I) =   165  -1
  I,RNGOFFSET(I) =   166    3.31662
  I,IOFFSET(I) =   166  -1
  I,JOFFSET(I) =   166  -1
  I,KOFFSET(I) =   166  -3
  I,RNGOFFSET(I) =   167    3.31662
  I,IOFFSET(I) =   167  1
  I,JOFFSET(I) =   167  -1
  I,KOFFSET(I) =   167  -3
  I,RNGOFFSET(I) =   168    3.31662
  I,IOFFSET(I) =   168  -3
  I,JOFFSET(I) =   168  -1
  I,KOFFSET(I) =   168  1
  I,RNGOFFSET(I) =   169    3.31662
  I,IOFFSET(I) =   169  3
  I,JOFFSET(I) =   169  -1
  I,KOFFSET(I) =   169  1
  I,RNGOFFSET(I) =   170    3.31662
  I,IOFFSET(I) =   170  -1
  I,JOFFSET(I) =   170  -1
  I,KOFFSET(I) =   170  3
  I,RNGOFFSET(I) =   171    3.31662
  I,IOFFSET(I) =   171  1
  I,JOFFSET(I) =   171  3
  I,KOFFSET(I) =   171  -1
  I,RNGOFFSET(I) =   172    3.46410
  I,IOFFSET(I) =   172  2
  I,JOFFSET(I) =   172  -2
  I,KOFFSET(I) =   172  2
  I,RNGOFFSET(I) =   173    3.46410
  I,IOFFSET(I) =   173  2
  I,JOFFSET(I) =   173  2
  I,KOFFSET(I) =   173  2
  I,RNGOFFSET(I) =   174    3.46410
  I,IOFFSET(I) =   174  -2
  I,JOFFSET(I) =   174  2
  I,KOFFSET(I) =   174  2
  I,RNGOFFSET(I) =   175    3.46410
  I,IOFFSET(I) =   175  2
  I,JOFFSET(I) =   175  2
  I,KOFFSET(I) =   175  -2
  I,RNGOFFSET(I) =   176    3.46410
  I,IOFFSET(I) =   176  -2
  I,JOFFSET(I) =   176  -2
  I,KOFFSET(I) =   176  2
  I,RNGOFFSET(I) =   177    3.46410
  I,IOFFSET(I) =   177  2
  I,JOFFSET(I) =   177  -2
  I,KOFFSET(I) =   177  -2
  I,RNGOFFSET(I) =   178    3.46410
  I,IOFFSET(I) =   178  -2
  I,JOFFSET(I) =   178  -2
  I,KOFFSET(I) =   178  -2
  I,RNGOFFSET(I) =   179    3.46410
  I,IOFFSET(I) =   179  -2
  I,JOFFSET(I) =   179  2
  I,KOFFSET(I) =   179  -2
